id,comment,sentiment
477,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
478,ফলাফলে আমি হতাশ।,negative
479,আমি নতুন একটি বই কিনেছি।,neutral
480,পরীক্ষাটা খুব কঠিন ছিল।,negative
481,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
482,আমি নতুন একটি বই কিনেছি।,neutral
483,আজকের আবহাওয়া খুব খারাপ।,negative
484,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
485,ট্রাফিক জ্যাম ভয়াবহ।,negative
486,"বাংলাদেশের গ্রামগুলো এখনও প্রকৃতির সৌন্দর্য ধরে রেখেছে, যেখানে নদী, সবুজ ক্ষেত আর গাছপালা মন ভরে দেয়।",positive
487,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
488,ফলাফলে আমি হতাশ।,negative
489,তুমি সময়মতো কাজ করোনি।,negative
490,আজ খুব খারাপ লাগছে।,negative
491,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
492,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
493,আজকের দিনটা খুব ভালো লাগছে।,positive
494,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
495,এই সপ্তাহে অনেক কাজ আছে।,neutral
496,রাত ১০টায় ঘুমাতে যাব।,neutral
497,সিনেমাটি বিরক্তিকর ছিল।,negative
498,আমি পরীক্ষায় ভালো ফলাফল করেছি।,positive
499,বাংলাদেশের প্রকৃতি সত্যিই মনোমুগ্ধকর।,positive
500,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
501,তোমার সাহায্যের জন্য ধন্যবাদ।,positive
502,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
503,আমি নতুন একটি বই কিনেছি।,neutral
504,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
505,"প্রতিযোগিতার আয়োজন ভালোভাবে করা হয়নি, যার ফলে অংশগ্রহণকারীরা হতাশ এবং অসন্তুষ্ট ছিলেন।",negative
506,"আজকের দিনটি সাধারণভাবেই কেটেছে, বিশেষ কিছু ঘটেনি তবে ব্যস্ত সময় পার করেছি।",neutral
507,ট্রাফিক জ্যাম ভয়াবহ।,negative
508,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
509,সিনেমাটি বিরক্তিকর ছিল।,negative
510,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
511,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
512,আজকের আবহাওয়া চমৎকার।,positive
513,আজ রবিবার।,neutral
514,আজ রবিবার।,neutral
515,শিক্ষকের অনুপ্রেরণায় আমি নতুন জিনিস শিখতে আগ্রহী হয়েছি এবং নিজের লক্ষ্য অর্জনের দিকে এগিয়ে যাচ্ছি।,positive
516,আজ রবিবার।,neutral
517,বাংলাদেশের প্রকৃতি সত্যিই মনোমুগ্ধকর।,positive
518,শিক্ষকের অনুপ্রেরণায় আমি নতুন জিনিস শিখতে আগ্রহী হয়েছি এবং নিজের লক্ষ্য অর্জনের দিকে এগিয়ে যাচ্ছি।,positive
519,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
520,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
521,আজকের দিনটা খুব ভালো লাগছে।,positive
522,আজকের আবহাওয়া চমৎকার।,positive
523,তুমি সময়মতো কাজ করোনি।,negative
524,বন্ধুদের সাথে সময় কাটিয়ে খুব ভালো লেগেছে।,positive
525,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
526,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
527,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
528,আজকের দিনটা খুব ভালো লাগছে।,positive
529,আমি প্রতিদিন চা খাই।,neutral
530,আজ খুব খারাপ লাগছে।,negative
531,আজকের আবহাওয়া চমৎকার।,positive
532,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
533,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
534,আজকের আবহাওয়া চমৎকার।,positive
535,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
536,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
537,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
538,আজকের আবহাওয়া চমৎকার।,positive
539,তুমি দারুণ কাজ করেছো।,positive
540,বন্ধুদের সাথে সময় কাটিয়ে খুব ভালো লেগেছে।,positive
541,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
542,আজকের আবহাওয়া খুব খারাপ।,negative
543,খাবারটি একদমই ভালো ছিল না।,negative
544,পরীক্ষাটা খুব কঠিন ছিল।,negative
545,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
546,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
547,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
548,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
549,"আজকের অনুষ্ঠানটি সত্যিই অসাধারণ ছিল, এত সুন্দরভাবে আয়োজন করা হয়েছে যে সবার মুখে হাসি ফুটে উঠেছে।",positive
550,"আমি প্রতিদিন সকালে হাঁটতে যাই, যা আমার স্বাস্থ্যের জন্য ভালো এবং মনও ফ্রেশ থাকে।",neutral
551,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
552,পরীক্ষাটা খুব কঠিন ছিল।,negative
553,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
554,আজ খুব খারাপ লাগছে।,negative
555,আজ রবিবার।,neutral
556,আমরা ঢাকায় থাকি।,neutral
557,তোমার সাহায্যের জন্য ধন্যবাদ।,positive
558,"আজকের অভিজ্ঞতাটি একেবারেই সুখকর ছিল না, সারাদিন প্রচণ্ড গরম এবং ট্রাফিক জ্যামের কারণে ভীষণ কষ্ট পেয়েছি।",negative
559,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
560,আজকের আবহাওয়া চমৎকার।,positive
561,তুমি দারুণ কাজ করেছো।,positive
562,শিক্ষকের অনুপ্রেরণায় আমি নতুন জিনিস শিখতে আগ্রহী হয়েছি এবং নিজের লক্ষ্য অর্জনের দিকে এগিয়ে যাচ্ছি।,positive
563,এই সপ্তাহে অনেক কাজ আছে।,neutral
564,আজকের আবহাওয়া খুব খারাপ।,negative
565,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
566,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
567,এই সপ্তাহে অনেক কাজ আছে।,neutral
568,আজ রবিবার।,neutral
569,শিক্ষকের অনুপ্রেরণায় আমি নতুন জিনিস শিখতে আগ্রহী হয়েছি এবং নিজের লক্ষ্য অর্জনের দিকে এগিয়ে যাচ্ছি।,positive
570,আজ খুব খারাপ লাগছে।,negative
571,বন্ধুদের সাথে সময় কাটিয়ে খুব ভালো লেগেছে।,positive
572,"বাংলাদেশের গ্রামগুলো এখনও প্রকৃতির সৌন্দর্য ধরে রেখেছে, যেখানে নদী, সবুজ ক্ষেত আর গাছপালা মন ভরে দেয়।",positive
573,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
574,খাবারটি একদমই ভালো ছিল না।,negative
575,সিনেমাটি বিরক্তিকর ছিল।,negative
576,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
577,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
578,"আজকের অভিজ্ঞতাটি একেবারেই সুখকর ছিল না, সারাদিন প্রচণ্ড গরম এবং ট্রাফিক জ্যামের কারণে ভীষণ কষ্ট পেয়েছি।",negative
579,আমি নতুন একটি বই কিনেছি।,neutral
580,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
581,আমরা ঢাকায় থাকি।,neutral
582,"আজকের দিনটি সাধারণভাবেই কেটেছে, বিশেষ কিছু ঘটেনি তবে ব্যস্ত সময় পার করেছি।",neutral
583,আজকের আবহাওয়া চমৎকার।,positive
584,আমি নতুন একটি বই কিনেছি।,neutral
585,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
586,ফলাফলে আমি হতাশ।,negative
587,আমি পরীক্ষায় ভালো ফলাফল করেছি।,positive
588,"আমি প্রতিদিন সকালে হাঁটতে যাই, যা আমার স্বাস্থ্যের জন্য ভালো এবং মনও ফ্রেশ থাকে।",neutral
589,এই সপ্তাহে অনেক কাজ আছে।,neutral
590,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
591,আজ খুব খারাপ লাগছে।,negative
592,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
593,ট্রাফিক জ্যাম ভয়াবহ।,negative
594,আমি পরীক্ষায় ভালো ফলাফল করেছি।,positive
595,রাত ১০টায় ঘুমাতে যাব।,neutral
596,সিনেমাটি বিরক্তিকর ছিল।,negative
597,এই সপ্তাহে অনেক কাজ আছে।,neutral
598,রাত ১০টায় ঘুমাতে যাব।,neutral
599,"বাংলাদেশের গ্রামগুলো এখনও প্রকৃতির সৌন্দর্য ধরে রেখেছে, যেখানে নদী, সবুজ ক্ষেত আর গাছপালা মন ভরে দেয়।",positive
600,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
601,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
602,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
603,সিনেমাটি বিরক্তিকর ছিল।,negative
604,"প্রতিযোগিতার আয়োজন ভালোভাবে করা হয়নি, যার ফলে অংশগ্রহণকারীরা হতাশ এবং অসন্তুষ্ট ছিলেন।",negative
605,আমরা ঢাকায় থাকি।,neutral
606,রাত ১০টায় ঘুমাতে যাব।,neutral
607,তুমি সময়মতো কাজ করোনি।,negative
608,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
609,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
610,তুমি সময়মতো কাজ করোনি।,negative
611,খাবারটি একদমই ভালো ছিল না।,negative
612,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
613,বাংলাদেশের প্রকৃতি সত্যিই মনোমুগ্ধকর।,positive
614,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
615,আমি প্রতিদিন চা খাই।,neutral
616,খাবারটি একদমই ভালো ছিল না।,negative
617,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
618,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
619,বন্ধুদের সাথে সময় কাটিয়ে খুব ভালো লেগেছে।,positive
620,"আমি প্রতিদিন সকালে হাঁটতে যাই, যা আমার স্বাস্থ্যের জন্য ভালো এবং মনও ফ্রেশ থাকে।",neutral
621,পরীক্ষার প্রশ্নপত্র অপ্রত্যাশিতভাবে কঠিন ছিল এবং প্রস্তুতি থাকা সত্ত্বেও আমি ভালো করতে পারিনি।,negative
622,আজ খুব খারাপ লাগছে।,negative
623,পরীক্ষাটা খুব কঠিন ছিল।,negative
624,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
625,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
626,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
627,আমি প্রতিদিন চা খাই।,neutral
628,"আজকের অনুষ্ঠানটি সত্যিই অসাধারণ ছিল, এত সুন্দরভাবে আয়োজন করা হয়েছে যে সবার মুখে হাসি ফুটে উঠেছে।",positive
629,সিনেমাটি বিরক্তিকর ছিল।,negative
630,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
631,আজকের আবহাওয়া খুব খারাপ।,negative
632,সিনেমাটি বিরক্তিকর ছিল।,negative
633,খুবই সুন্দর দৃশ্য।,positive
634,আজকের আবহাওয়া খুব খারাপ।,negative
635,আজকের আবহাওয়া খুব খারাপ।,negative
636,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
637,আমি পরীক্ষায় ভালো ফলাফল করেছি।,positive
638,ফলাফলে আমি হতাশ।,negative
639,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
640,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
641,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
642,খাবারটি একদমই ভালো ছিল না।,negative
643,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
644,বাংলাদেশের প্রকৃতি সত্যিই মনোমুগ্ধকর।,positive
645,পরীক্ষার প্রশ্নপত্র অপ্রত্যাশিতভাবে কঠিন ছিল এবং প্রস্তুতি থাকা সত্ত্বেও আমি ভালো করতে পারিনি।,negative
646,রাত ১০টায় ঘুমাতে যাব।,neutral
647,ট্রাফিক জ্যাম ভয়াবহ।,negative
648,পরীক্ষাটা খুব কঠিন ছিল।,negative
649,এই সপ্তাহে অনেক কাজ আছে।,neutral
650,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
651,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
652,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
653,তুমি সময়মতো কাজ করোনি।,negative
654,বাংলাদেশের প্রকৃতি সত্যিই মনোমুগ্ধকর।,positive
655,আজকের আবহাওয়া খুব খারাপ।,negative
656,"আজকের দিনটি সাধারণভাবেই কেটেছে, বিশেষ কিছু ঘটেনি তবে ব্যস্ত সময় পার করেছি।",neutral
657,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
658,"আমি প্রতিদিন সকালে হাঁটতে যাই, যা আমার স্বাস্থ্যের জন্য ভালো এবং মনও ফ্রেশ থাকে।",neutral
659,আমি পরীক্ষায় ভালো ফলাফল করেছি।,positive
660,আজকের আবহাওয়া খুব খারাপ।,negative
661,তুমি সময়মতো কাজ করোনি।,negative
662,বন্ধুদের সাথে সময় কাটিয়ে খুব ভালো লেগেছে।,positive
663,বন্ধুদের সাথে সময় কাটিয়ে খুব ভালো লেগেছে।,positive
664,আমরা ঢাকায় থাকি।,neutral
665,"আমি প্রতিদিন সকালে হাঁটতে যাই, যা আমার স্বাস্থ্যের জন্য ভালো এবং মনও ফ্রেশ থাকে।",neutral
666,আজ রবিবার।,neutral
667,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
668,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
669,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
670,পরীক্ষার প্রশ্নপত্র অপ্রত্যাশিতভাবে কঠিন ছিল এবং প্রস্তুতি থাকা সত্ত্বেও আমি ভালো করতে পারিনি।,negative
671,আমি সকাল ৭টায় উঠেছি।,neutral
672,"আজকের অভিজ্ঞতাটি একেবারেই সুখকর ছিল না, সারাদিন প্রচণ্ড গরম এবং ট্রাফিক জ্যামের কারণে ভীষণ কষ্ট পেয়েছি।",negative
673,সিনেমাটি বিরক্তিকর ছিল।,negative
674,ক্লাসটি আজ অনলাইনে হয়েছে।,neutral
675,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
676,আমরা ঢাকায় থাকি।,neutral
677,রাত ১০টায় ঘুমাতে যাব।,neutral
678,খাবারটি একদমই ভালো ছিল না।,negative
679,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
680,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
681,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
682,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
683,রাত ১০টায় ঘুমাতে যাব।,neutral
684,আজ রবিবার।,neutral
685,"প্রতিযোগিতার আয়োজন ভালোভাবে করা হয়নি, যার ফলে অংশগ্রহণকারীরা হতাশ এবং অসন্তুষ্ট ছিলেন।",negative
686,এই সপ্তাহে অনেক কাজ আছে।,neutral
687,আমি সকাল ৭টায় উঠেছি।,neutral
688,"বাংলাদেশের গ্রামগুলো এখনও প্রকৃতির সৌন্দর্য ধরে রেখেছে, যেখানে নদী, সবুজ ক্ষেত আর গাছপালা মন ভরে দেয়।",positive
689,"আজকের অনুষ্ঠানটি সত্যিই অসাধারণ ছিল, এত সুন্দরভাবে আয়োজন করা হয়েছে যে সবার মুখে হাসি ফুটে উঠেছে।",positive
690,আমি নতুন একটি বই কিনেছি।,neutral
691,"আজকের অনুষ্ঠানটি সত্যিই অসাধারণ ছিল, এত সুন্দরভাবে আয়োজন করা হয়েছে যে সবার মুখে হাসি ফুটে উঠেছে।",positive
692,আজ রবিবার।,neutral
693,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
694,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
695,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
696,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
697,খাবারটি একদমই ভালো ছিল না।,negative
698,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
699,ফলাফলে আমি হতাশ।,negative
700,"আজকের দিনটি সাধারণভাবেই কেটেছে, বিশেষ কিছু ঘটেনি তবে ব্যস্ত সময় পার করেছি।",neutral
701,আমি প্রতিদিন চা খাই।,neutral
702,"আজকের দিনটি সাধারণভাবেই কেটেছে, বিশেষ কিছু ঘটেনি তবে ব্যস্ত সময় পার করেছি।",neutral
703,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
704,তুমি সময়মতো কাজ করোনি।,negative
705,ট্রাফিক জ্যাম ভয়াবহ।,negative
706,এই সপ্তাহে অনেক কাজ আছে।,neutral
707,আমি প্রতিদিন চা খাই।,neutral
708,আমি পরীক্ষায় ভালো ফলাফল করেছি।,positive
709,তোমার সাহায্যের জন্য ধন্যবাদ।,positive
710,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
711,খাবারটি একদমই ভালো ছিল না।,negative
712,শিক্ষকের অনুপ্রেরণায় আমি নতুন জিনিস শিখতে আগ্রহী হয়েছি এবং নিজের লক্ষ্য অর্জনের দিকে এগিয়ে যাচ্ছি।,positive
713,আমরা ঢাকায় থাকি।,neutral
714,আজকের আবহাওয়া খুব খারাপ।,negative
715,ট্রাফিক জ্যাম ভয়াবহ।,negative
716,আজকের আবহাওয়া চমৎকার।,positive
717,তুমি সময়মতো কাজ করোনি।,negative
718,খাবারটি একদমই ভালো ছিল না।,negative
719,"প্রতিযোগিতার আয়োজন ভালোভাবে করা হয়নি, যার ফলে অংশগ্রহণকারীরা হতাশ এবং অসন্তুষ্ট ছিলেন।",negative
720,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
721,খাবারটি একদমই ভালো ছিল না।,negative
722,আজ খুব খারাপ লাগছে।,negative
723,আমি সকাল ৭টায় উঠেছি।,neutral
724,শিক্ষকের অনুপ্রেরণায় আমি নতুন জিনিস শিখতে আগ্রহী হয়েছি এবং নিজের লক্ষ্য অর্জনের দিকে এগিয়ে যাচ্ছি।,positive
725,"আজকের অভিজ্ঞতাটি একেবারেই সুখকর ছিল না, সারাদিন প্রচণ্ড গরম এবং ট্রাফিক জ্যামের কারণে ভীষণ কষ্ট পেয়েছি।",negative
726,"আজকের অনুষ্ঠানটি সত্যিই অসাধারণ ছিল, এত সুন্দরভাবে আয়োজন করা হয়েছে যে সবার মুখে হাসি ফুটে উঠেছে।",positive
727,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
728,আজকের আবহাওয়া চমৎকার।,positive
729,আজকের আবহাওয়া চমৎকার।,positive
730,আমি পরীক্ষায় ভালো ফলাফল করেছি।,positive
731,রাত ১০টায় ঘুমাতে যাব।,neutral
732,ফলাফলে আমি হতাশ।,negative
733,"আজকের অভিজ্ঞতাটি একেবারেই সুখকর ছিল না, সারাদিন প্রচণ্ড গরম এবং ট্রাফিক জ্যামের কারণে ভীষণ কষ্ট পেয়েছি।",negative
734,খুবই সুন্দর দৃশ্য।,positive
735,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
736,পরীক্ষাটা খুব কঠিন ছিল।,negative
737,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
738,বাংলাদেশ দক্ষিণ এশিয়ার একটি দেশ।,neutral
739,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
740,পরীক্ষাটা খুব কঠিন ছিল।,negative
741,"আমি এই প্রকল্পের ফলাফল দেখে অভিভূত, সবার কঠোর পরিশ্রম সত্যিই প্রশংসার যোগ্য।",positive
742,তুমি দারুণ কাজ করেছো।,positive
743,আমি আজ বাজার থেকে যে পণ্যটি কিনেছি তা প্রত্যাশা অনুযায়ী ভালো মানের ছিল না এবং দ্রুত নষ্ট হয়ে গেছে।,negative
744,"আমি প্রতিদিন সকালে হাঁটতে যাই, যা আমার স্বাস্থ্যের জন্য ভালো এবং মনও ফ্রেশ থাকে।",neutral
745,বন্ধুদের সাথে সময় কাটিয়ে খুব ভালো লেগেছে।,positive
746,"বাংলাদেশের গ্রামগুলো এখনও প্রকৃতির সৌন্দর্য ধরে রেখেছে, যেখানে নদী, সবুজ ক্ষেত আর গাছপালা মন ভরে দেয়।",positive
747,আমরা ঢাকায় থাকি।,neutral
748,তুমি সময়মতো কাজ করোনি।,negative
749,তোমার সাহায্যের জন্য ধন্যবাদ।,positive
750,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
751,আমরা আগামী সপ্তাহে একটি নতুন প্রকল্প শুরু করব এবং এর জন্য আজ মিটিং অনুষ্ঠিত হয়েছে।,neutral
752,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
753,আমি নতুন একটি বই কিনেছি।,neutral
754,রাত ১০টায় ঘুমাতে যাব।,neutral
755,রাত ১০টায় ঘুমাতে যাব।,neutral
756,আমি সকাল ৭টায় উঠেছি।,neutral
757,তুমি সময়মতো কাজ করোনি।,negative
758,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
759,শিক্ষকের অনুপ্রেরণায় আমি নতুন জিনিস শিখতে আগ্রহী হয়েছি এবং নিজের লক্ষ্য অর্জনের দিকে এগিয়ে যাচ্ছি।,positive
760,"আজকের দিনটি সাধারণভাবেই কেটেছে, বিশেষ কিছু ঘটেনি তবে ব্যস্ত সময় পার করেছি।",neutral
761,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
762,আমি সকাল ৭টায় উঠেছি।,neutral
763,আমরা ঢাকায় থাকি।,neutral
764,খাবারটি একদমই ভালো ছিল না।,negative
765,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
766,খুবই সুন্দর দৃশ্য।,positive
767,"প্রতিযোগিতার আয়োজন ভালোভাবে করা হয়নি, যার ফলে অংশগ্রহণকারীরা হতাশ এবং অসন্তুষ্ট ছিলেন।",negative
768,আজকের আবহাওয়া চমৎকার।,positive
769,পরীক্ষাটা খুব কঠিন ছিল।,negative
770,আমরা ঢাকায় থাকি।,neutral
771,রাত ১০টায় ঘুমাতে যাব।,neutral
772,সিনেমাটি বিরক্তিকর ছিল।,negative
773,"আজকের অভিজ্ঞতাটি একেবারেই সুখকর ছিল না, সারাদিন প্রচণ্ড গরম এবং ট্রাফিক জ্যামের কারণে ভীষণ কষ্ট পেয়েছি।",negative
774,"আজকের দিনটি সাধারণভাবেই কেটেছে, বিশেষ কিছু ঘটেনি তবে ব্যস্ত সময় পার করেছি।",neutral
775,আমরা ঢাকায় থাকি।,neutral
776,আমরা ঢাকায় থাকি।,neutral
777,আজকের আবহাওয়া খুব খারাপ।,negative
778,খুবই সুন্দর দৃশ্য।,positive
779,পরীক্ষার প্রশ্নপত্র অপ্রত্যাশিতভাবে কঠিন ছিল এবং প্রস্তুতি থাকা সত্ত্বেও আমি ভালো করতে পারিনি।,negative
780,সেবাটি একেবারেই সন্তোষজনক ছিল না।,negative
781,শিক্ষকের অনুপ্রেরণায় আমি নতুন জিনিস শিখতে আগ্রহী হয়েছি এবং নিজের লক্ষ্য অর্জনের দিকে এগিয়ে যাচ্ছি।,positive
782,আজ খুব খারাপ লাগছে।,negative
783,সিনেমাটি বিরক্তিকর ছিল।,negative
784,শিক্ষকের অনুপ্রেরণায় আমি নতুন জিনিস শিখতে আগ্রহী হয়েছি এবং নিজের লক্ষ্য অর্জনের দিকে এগিয়ে যাচ্ছি।,positive
785,আমার মোবাইলটি নষ্ট হয়ে গেছে।,negative
786,"আজ সকালে আমি নাস্তা করার পর পত্রিকা পড়েছি এবং তারপর কাজে বেরিয়েছি, বিকেলে অফিস থেকে ফিরে বই পড়েছি।",neutral
787,পরীক্ষাটা খুব কঠিন ছিল।,negative
788,আজকের দিনটি সাধারণভাবে কেটেছে।,neutral
789,"প্রতিযোগিতার আয়োজন ভালোভাবে করা হয়নি, যার ফলে অংশগ্রহণকারীরা হতাশ এবং অসন্তুষ্ট ছিলেন।",negative
790,ট্রাফিক জ্যাম ভয়াবহ।,negative
791,আমি এই বইটি পড়ে খুব আনন্দ পেয়েছি।,positive
792,আজ রবিবার।,neutral
793,খাবারটি অসাধারণ স্বাদযুক্ত ছিল।,positive
